n33lab.com	http	glance	glance:8080	80,443=traefik
traefik.n33lab.com	http	dashboard	api@internal	9090=disabled
docker.n33lab.com	http	dockhand	dockhand:3000	none
pihole.n33lab.com	http	pihole	pihole:80	53/tcp,53/udp=dns
qbittorrent.n33lab.com	http	qbittorrent	qbittorrent:8080	6881/tcp,6881/udp=bittorrent
immich.n33lab.com	http	immich	immich-server:2283	none
chat.n33lab.com	http	openwebui	openwebui:8080	none
excalidraw.n33lab.com	http	excalidraw	excalidraw:80	none
uptime.n33lab.com	http	gatus	gatus:8080	none
logs.n33lab.com	http	dozzle	dozzle:8080	none
files.n33lab.com	http	filebrowser	filebrowser:80	none
backup.n33lab.com	http	backrest	backrest:9898	none
ha.n33lab.com	http	homeassistant	host.docker.internal:8123	8123=retained
ha-esphome.n33lab.com	http	esphome	host.docker.internal:6052	6052=retained
ha-music.n33lab.com	http	musicassistant	host.docker.internal:8095	8095=retained;8097=stream
ha-flows.n33lab.com	http	node-red	node-red:1880	none
git.n33lab.com	http	forgejo	forgejo:3000	222=ssh
mqtt.n33lab.com	reserved	mqtt	mosquitto:1883	8883=reserved-tcp-tls;1883=retained-until-task-8
nas.local	native	ugreen	nas.local:9443	9999=redirect-to-9443;80,443=disabled
